시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,성북구,1,0,1,0,0,1
서울,강서구,1,0,2,1,1,0
서울,강남구,1,0,1,1,0,0
서울,강동구,37,1,85,10,60,15
서울,송파구,24,1,49,5,38,6
서울,서초구,41,1,127,21,76,30
서울,양천구,3,0,4,1,3,0
서울,중랑구,3,0,10,0,9,1
서울,노원구,6,0,18,6,7,5
서울,금천구,3,1,4,0,4,0
부산,북구,3,0,3,1,2,0
부산,해운대구,2,0,2,0,2,0
부산,금정구,17,0,33,8,24,1
부산,강서구,31,0,65,30,33,2
부산,사상구,8,0,14,4,8,2
부산,기장군,17,1,35,9,26,0
경기,수원시,79,1,170,40,106,24
경기,성남시,197,7,342,77,232,33
경기,의정부시,32,0,66,15,42,9
경기,안양시,48,1,84,19,56,9
경기,부천시,55,0,89,15,69,5
경기,안산시,88,5,157,36,107,14
경기,평택시,110,5,270,44,146,80
경기,광명시,27,1,45,7,34,4
경기,구리시,86,1,126,16,95,15
경기,양주시,16,0,31,4,21,6
경기,여주시,57,1,129,28,89,12
경기,화성시,152,4,368,68,236,64
경기,시흥시,118,4,199,29,159,11
경기,고양시,33,3,65,14,47,4
경기,광주시,40,3,118,19,53,46
경기,포천시,7,0,18,3,11,4
경기,가평군,16,2,41,9,25,7
경기,양평군,16,0,45,8,33,4
경기,이천시,64,7,179,41,129,9
경기,용인시,317,7,760,138,494,128
경기,안성시,95,2,234,45,166,23
경기,김포시,33,0,77,3,65,9
경기,군포시,37,1,69,16,49,4
경기,남양주시,59,2,149,16,113,20
경기,오산시,42,0,105,24,55,26
경기,의왕시,64,2,152,26,104,22
경기,하남시,93,1,180,39,124,17
강원,춘천시,28,1,101,14,84,3
강원,원주시,30,2,53,18,33,2
강원,동해시,2,0,3,0,1,2
강원,강릉시,23,0,64,15,48,1
강원,속초시,1,0,3,0,3,0
강원,홍천군,25,4,73,17,53,3
강원,횡성군,19,1,36,6,30,0
강원,평창군,20,1,51,14,35,2
강원,인제군,11,0,26,4,22,0
강원,양양군,7,1,26,8,17,1
충북,청주시,85,8,281,51,228,2
충북,충주시,40,6,99,34,62,3
충북,제천시,11,0,23,9,11,3
충북,보은군,11,2,21,5,15,1
충북,옥천군,11,1,17,9,8,0
충북,영동군,10,2,11,4,7,0
충북,진천군,32,3,87,14,61,12
충북,괴산군,27,5,64,19,45,0
충북,음성군,22,3,71,17,50,4
충북,단양군,14,2,30,8,22,0
충북,증평군,1,0,2,0,2,0
