시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,중구,1,0,1,0,1,0
서울,용산구,3,2,4,2,2,0
서울,성동구,1,0,1,0,1,0
서울,마포구,1,0,1,0,1,0
서울,영등포구,1,0,1,0,1,0
서울,강남구,2,0,2,0,2,0
서울,강동구,1,0,2,0,2,0
서울,송파구,3,0,4,1,2,1
서울,서초구,2,0,3,0,2,1
서울,중랑구,1,0,4,0,4,0
부산,사상구,1,0,1,0,0,1
경기,수원시,1,0,1,1,0,0
경기,성남시,3,0,8,0,7,1
경기,안산시,1,0,1,0,1,0
경기,평택시,25,0,38,6,27,5
경기,화성시,3,0,6,0,6,0
경기,고양시,1,0,1,0,0,1
경기,이천시,1,0,2,0,2,0
경기,김포시,2,0,2,0,2,0
경기,동두천시,2,0,2,0,2,0
경기,군포시,1,0,1,0,1,0
경기,오산시,3,0,6,1,5,0
강원,춘천시,1,0,2,0,2,0
강원,원주시,1,0,2,2,0,0
강원,강릉시,1,0,2,0,2,0
강원,평창군,1,0,1,0,1,0
강원,양양군,1,0,2,0,2,0
충북,청주시,1,0,1,0,1,0
충남,천안시,1,0,1,1,0,0
충남,부여군,1,0,1,0,1,0
충남,예산군,1,0,1,0,1,0
전북,전주시,1,0,2,0,2,0
전북,군산시,1,0,1,0,1,0
전북,진안군,1,1,3,1,2,0
경북,구미시,2,0,3,0,2,1
경북,성주군,1,0,1,1,0,0
경남,통영시,1,0,1,0,1,0
경남,김해시,1,0,1,0,1,0
경남,거제시,1,0,1,0,1,0
경남,창원시(통합),2,0,2,1,0,1
제주,제주시,4,0,5,0,3,2
제주,서귀포시,5,0,7,3,3,1
대구,동구,1,0,1,0,1,0
대구,남구,1,0,3,0,3,0
대구,북구,3,0,12,4,8,0
대구,수성구,2,0,2,1,1,0
대구,달서구,1,0,4,0,4,0
인천,중구,1,0,4,1,3,0
인천,서구,1,0,1,0,1,0
인천,계양구,1,0,1,1,0,0
대전,서구,1,0,1,0,1,0
대전,유성구,2,0,4,0,4,0
대전,대덕구,1,0,1,0,0,1
