시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,17,0,28,6,20,2
서울,중구,13,0,17,4,11,2
서울,용산구,41,1,57,15,42,0
서울,성동구,24,0,44,4,40,0
서울,동대문구,33,0,45,12,33,0
서울,성북구,29,1,54,8,45,1
서울,도봉구,14,0,22,3,19,0
서울,은평구,21,0,33,9,22,2
서울,서대문구,15,0,32,3,27,2
서울,마포구,42,0,61,11,47,3
서울,강서구,31,1,43,12,31,0
서울,구로구,44,0,71,11,60,0
서울,영등포구,39,1,52,13,38,1
서울,동작구,18,1,31,4,26,1
서울,관악구,21,0,36,7,28,1
서울,강남구,75,1,130,28,97,5
서울,강동구,37,0,56,18,36,2
서울,송파구,36,1,53,18,34,1
서울,서초구,73,0,105,19,82,4
서울,양천구,16,1,26,2,24,0
서울,중랑구,29,0,49,8,41,0
서울,노원구,27,1,48,6,42,0
서울,광진구,32,0,51,16,35,0
서울,강북구,26,1,44,12,31,1
서울,금천구,36,0,46,14,30,2
부산,중구,16,0,22,3,17,2
부산,서구,6,0,11,2,9,0
부산,동구,27,0,36,4,30,2
부산,영도구,12,0,15,3,12,0
부산,부산진구,101,0,129,23,105,1
부산,동래구,27,0,36,13,23,0
부산,남구,29,0,39,7,32,0
부산,북구,15,0,22,5,17,0
부산,해운대구,37,0,64,12,49,3
부산,사하구,16,0,31,12,17,2
부산,금정구,37,0,49,13,35,1
부산,강서구,19,0,26,8,18,0
부산,연제구,27,0,37,10,26,1
부산,수영구,30,0,48,8,35,5
부산,사상구,46,0,60,15,39,6
부산,기장군,12,0,20,3,17,0
경기,수원시,261,1,351,42,301,8
경기,성남시,143,2,220,48,160,12
경기,의정부시,37,2,47,7,40,0
경기,안양시,40,0,57,11,44,2
경기,부천시,121,2,170,17,146,7
경기,안산시,182,1,272,34,230,8
경기,평택시,80,0,118,27,85,6
경기,광명시,27,0,38,3,33,2
경기,구리시,24,2,35,6,25,4
경기,양주시,15,0,21,7,13,1
경기,여주시,17,0,19,6,13,0
경기,화성시,99,1,145,35,107,3
경기,시흥시,165,4,221,38,167,16
경기,파주시,39,0,61,16,45,0
경기,고양시,233,0,335,61,251,23
경기,광주시,54,0,86,17,69,0
경기,연천군,4,0,8,0,6,2
경기,포천시,28,0,40,8,32,0
경기,가평군,15,1,19,6,12,1
경기,양평군,15,0,27,6,18,3
경기,이천시,33,0,57,12,45,0
경기,용인시,158,1,231,58,167,6
경기,안성시,15,0,25,5,19,1
경기,김포시,25,0,39,8,31,0
