시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,6,6,2,0,2,0
서울,중구,9,9,3,2,0,1
서울,용산구,12,14,1,1,0,0
서울,성동구,9,9,1,0,1,0
서울,동대문구,14,14,0,0,0,0
서울,성북구,14,14,3,2,1,0
서울,도봉구,6,6,0,0,0,0
서울,은평구,12,12,1,1,0,0
서울,서대문구,5,5,0,0,0,0
서울,마포구,11,11,1,1,0,0
서울,강서구,11,11,7,6,1,0
서울,구로구,13,13,4,1,3,0
서울,영등포구,22,22,8,4,4,0
서울,동작구,9,9,1,0,1,0
서울,관악구,8,8,1,0,1,0
서울,강남구,20,20,8,6,2,0
서울,강동구,12,12,4,2,0,2
서울,송파구,26,27,33,10,23,0
서울,서초구,18,18,17,3,13,1
서울,양천구,11,11,2,0,1,1
서울,중랑구,10,10,5,1,4,0
서울,노원구,14,14,3,0,2,1
서울,광진구,9,10,7,2,3,2
서울,강북구,13,13,8,2,6,0
서울,금천구,6,6,1,0,1,0
부산,중구,3,3,0,0,0,0
부산,서구,6,6,0,0,0,0
부산,동구,3,3,1,0,1,0
부산,영도구,5,5,2,1,1,0
부산,부산진구,18,18,5,2,3,0
부산,동래구,6,6,20,6,14,0
부산,남구,8,9,3,1,1,1
부산,북구,6,6,1,1,0,0
부산,해운대구,12,12,6,3,3,0
부산,사하구,3,3,1,0,1,0
부산,금정구,7,7,5,2,3,0
부산,강서구,14,15,3,1,2,0
부산,연제구,5,5,0,0,0,0
부산,수영구,2,2,0,0,0,0
부산,사상구,15,15,8,1,6,1
부산,기장군,8,8,10,4,6,0
경기,수원시,39,39,7,2,4,1
경기,성남시,37,37,23,10,10,3
경기,의정부시,18,19,3,3,0,0
경기,안양시,14,14,3,0,3,0
경기,부천시,22,22,4,4,0,0
경기,안산시,42,42,23,9,13,1
경기,평택시,48,51,21,3,13,5
경기,광명시,12,12,4,4,0,0
경기,구리시,9,11,7,5,2,0
경기,양주시,18,19,30,9,20,1
경기,여주시,14,14,4,3,0,1
경기,화성시,57,59,46,12,34,0
경기,시흥시,28,29,27,6,15,6
경기,파주시,21,22,11,6,4,1
경기,고양시,38,38,7,3,4,0
경기,광주시,19,19,10,2,8,0
경기,연천군,6,6,2,1,1,0
경기,포천시,16,16,10,8,2,0
경기,가평군,10,11,8,7,1,0
경기,양평군,14,15,5,3,2,0
경기,이천시,18,19,29,7,21,1
경기,용인시,36,37,33,12,15,6
경기,안성시,16,19,12,7,5,0
경기,김포시,24,24,18,3,13,2
경기,동두천시,11,11,6,4,2,0
경기,과천시,1,1,0,0,0,0
경기,군포시,7,7,1,0,1,0
경기,남양주시,40,41,23,6,13,4
경기,오산시,10,10,4,2,1,1
경기,의왕시,5,5,1,1,0,0
경기,하남시,9,9,4,1,3,0
강원,춘천시,18,18,7,4,3,0
강원,원주시,19,20,8,1,5,2
강원,동해시,5,5,0,0,0,0
강원,강릉시,22,22,7,5,2,0
강원,속초시,6,6,0,0,0,0
강원,태백시,9,10,3,0,3,0
강원,삼척시,6,6,0,0,0,0
강원,홍천군,9,13,9,7,2,0
강원,횡성군,13,14,4,4,0,0
강원,영월군,10,11,5,3,0,2
강원,평창군,14,15,10,6,4,0
강원,정선군,8,8,10,4,2,4
강원,철원군,5,5,1,1,0,0
강원,화천군,6,9,3,2,1,0
강원,양구군,5,5,2,0,2,0
강원,인제군,9,10,1,1,0,0
강원,고성군,11,12,10,6,3,1
강원,양양군,8,8,9,6,3,0
충북,청주시,84,86,53,21,30,2
충북,충주시,27,27,42,15,23,4
충북,제천시,19,21,19,8,10,1
충북,보은군,6,6,3,2,1,0
충북,옥천군,11,11,0,0,0,0
충북,영동군,10,10,3,2,1,0
충북,진천군,20,20,10,3,7,0
충북,괴산군,13,14,17,7,10,0
충북,음성군,20,20,28,7,21,0
충북,단양군,8,8,4,3,1,0
충북,증평군,1,1,0,0,0,0
충남,천안시,52,54,23,8,15,0
충남,아산시,36,38,17,14,3,0
충남,보령시,17,18,4,1,3,0
충남,공주시,23,24,7,3,4,0
충남,서산시,30,30,18,6,2,10
충남,금산군,11,11,3,2,1,0
충남,태안군,14,14,8,5,1,2
충남,논산시,25,25,32,13,19,0
충남,부여군,19,20,4,1,3,0
충남,서천군,11,11,11,8,3,0
충남,청양군,13,13,1,0,1,0
충남,홍성군,26,29,19,9,10,0
충남,예산군,22,24,21,7,14,0
충남,당진시,41,41,28,18,9,1
충남,계룡시,2,2,0,0,0,0
전북,전주시,35,36,13,4,9,0
전북,군산시,35,36,18,6,12,0
전북,정읍시,16,17,10,4,6,0
전북,남원시,26,27,9,3,6,0
전북,김제시,22,24,12,5,7,0
전북,완주군,18,18,26,17,9,0
전북,진안군,5,5,6,3,3,0
전북,무주군,12,12,5,2,3,0
전북,장수군,2,2,0,0,0,0
