일자,검사건수,기준
2020-02-22,408,보건소
2020-02-23,675,보건소
2020-02-24,870,보건소
2020-02-25,560,보건소
2020-02-26,981,보건소
2020-02-27,1256,보건소
2020-02-28,1569,보건소
2020-02-29,1524,보건소
2020-03-01,2033,보건소
2020-03-02,2066,보건소
2020-03-03,2249,보건소
2020-03-04,3128,보건소
2020-03-05,3531,보건소
2020-03-06,2300,보건소
2020-03-07,1789,보건소
2020-03-08,1103,보건소
2020-03-09,2077,보건소
2020-03-10,1532,보건소
2020-03-11,1902,보건소
2020-03-12,3044,보건소
2020-03-13,3581,보건소
2020-03-14,2163,보건소
2020-03-15,1510,보건소
2020-03-16,3086,보건소
2020-03-17,2991,보건소
2020-03-18,4723,보건소
2020-03-19,6580,보건소
2020-03-20,4266,보건소
2020-03-21,3615,보건소
2020-03-22,1592,보건소
2020-03-23,3934,보건소
2020-03-24,2154,보건소
2020-03-25,1946,보건소
2020-03-26,2103,보건소
2020-03-27,2545,보건소
2020-03-28,1631,보건소
2020-03-29,956,보건소
2020-03-30,2113,보건소
2020-03-31,1582,보건소
2020-04-01,1163,보건소
2020-04-02,1812,보건소
2020-04-03,821,보건소
2020-04-04,779,보건소
2020-04-05,745,보건소
2020-04-06,1103,보건소
2020-04-07,1301,보건소
2020-04-08,964,보건소
2020-04-09,961,보건소
2020-04-10,885,보건소
2020-04-11,601,보건소
2020-04-12,336,보건소
2020-04-13,798,보건소
2020-04-14,802,보건소
2020-04-15,436,보건소
2020-04-16,530,보건소
2020-04-17,454,보건소
2020-04-18,431,보건소
2020-04-19,353,보건소
2020-04-20,483,보건소
2020-04-21,882,보건소
2020-04-22,494,보건소
2020-04-23,1161,보건소
2020-04-24,1363,보건소
2020-04-25,558,보건소
2020-04-26,434,보건소
2020-04-27,1998,보건소
2020-04-28,2096,보건소
2020-04-29,1747,보건소
2020-04-30,838,보건소
2020-05-01,1188,보건소
2020-05-02,805,보건소
2020-05-03,377,보건소
2020-05-04,1117,보건소
2020-05-05,467,보건소
2020-05-06,539,보건소
2020-05-07,1235,보건소
2020-05-08,1309,보건소
2020-05-09,679,보건소
2020-05-10,527,보건소
2020-05-11,840,보건소
2020-05-12,1356,보건소
2020-05-13,1395,보건소
2020-05-14,1500,보건소
2020-05-15,1944,보건소
2020-05-16,1156,보건소
2020-05-17,513,보건소
2020-05-18,1528,보건소
2020-05-19,951,보건소
2020-05-20,990,보건소
2020-05-21,1390,보건소
2020-05-22,973,보건소
2020-05-23,699,보건소
