 구분 , 인원 , 총수입금액(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액 (억 원)
 상위 0.1% 내 ,19167,147132,141862,11788,135345,48970
 상위 0.2% 내 ,19167,65714,62053,7900,57814,17579
 상위 0.3% 내 ,19167,52032,48626,7233,44798,12686
 상위 0.4% 내 ,19168,44933,41655,6896,38037,10193
 상위 0.5% 내 ,19167,40407,37207,6759,33648,8558
 상위 0.6% 내 ,19167,37314,34166,6663,30651,7462
 상위 0.7% 내 ,19167,35019,31907,6553,28465,6678
 상위 0.8% 내 ,19168,33271,30185,6587,26685,6048
 상위 0.9% 내 ,19167,31848,28783,6536,25311,5571
 상위 1.0% 내 ,19167,30696,27649,6536,24160,5171
 상위 2% 내 ,191673,268974,239190,63813,205161,39234
 상위 3% 내 ,191673,229513,200490,61298,168215,27169
 상위 4% 내 ,191672,207166,178587,60185,146981,21688
 상위 5% 내 ,191673,191091,162893,58690,132401,18350
 상위 6% 내 ,191673,179197,151551,57492,121705,15923
 상위 7% 내 ,191673,170135,142941,57296,112839,13870
 상위 8% 내 ,191672,162736,135913,57053,105684,12218
 상위 9% 내 ,191673,156169,129673,56435,99733,10890
 상위 10% 내 ,191673,150077,123886,55800,94277,9746
 상위 11% 내 ,191673,144447,118538,55024,89423,8816
 상위 12% 내 ,191672,139314,113662,54043,85272,8116
 상위 13% 내 ,191673,134575,109158,53593,80981,7288
 상위 14% 내 ,191673,130028,104839,53199,76829,6515
 상위 15% 내 ,191672,125660,100690,52382,73277,6039
 상위 16% 내 ,191673,121522,96759,51526,69996,5615
 상위 17% 내 ,191673,117564,92998,50655,66909,5216
 상위 18% 내 ,191673,114012,89623,49347,64665,4960
 상위 19% 내 ,191672,110567,86351,49043,61524,4517
 상위 20% 내 ,191673,107273,83221,48126,59147,4220
 상위 21% 내 ,191673,104192,80295,47281,56910,3901
 상위 22% 내 ,191673,101304,77551,46676,54628,3595
 상위 23% 내 ,191672,98551,74936,45981,52570,3334
 상위 24% 내 ,191673,95948,72463,45315,50633,3094
 상위 25% 내 ,191673,93454,70094,44636,48817,2867
 상위 26% 내 ,191672,91155,67909,43790,47365,2706
 상위 27% 내 ,191673,88894,65762,43292,45603,2485
 상위 28% 내 ,191673,86694,63681,42754,43940,2284
 상위 29% 내 ,191673,84596,61844,41988,42609,2126
 상위 30% 내 ,191672,82533,60091,41219,41315,1972
 상위 31% 내 ,191673,80590,58439,40343,40247,1852
 상위 32% 내 ,191673,78749,56874,39759,38990,1693
 상위 33% 내 ,191673,76948,55344,39084,37865,1555
 상위 34% 내 ,191672,75204,53860,38409,36795,1426
 상위 35% 내 ,191673,73535,52442,37735,35800,1317
 상위 36% 내 ,191673,71907,51058,37057,34850,1207
 상위 37% 내 ,191673,70324,49713,36432,33892,1102
 상위 38% 내 ,191672,68935,48532,35802,33133,1040
 상위 39% 내 ,191673,67531,47338,35272,32258,932
 상위 40% 내 ,191673,66160,46173,34732,31428,857
 상위 41% 내 ,191672,64748,44973,34173,30575,777
 상위 42% 내 ,191673,63413,43838,33577,29835,713
 상위 43% 내 ,191673,62133,42750,33144,28990,654
 상위 44% 내 ,191673,60897,41700,32556,28341,605
 상위 45% 내 ,191672,59659,40647,32058,27601,558
 상위 46% 내 ,191673,58448,39618,31532,26916,513
 상위 47% 내 ,191673,57400,38727,31185,26215,487
 상위 48% 내 ,191673,56312,37802,30735,25576,440
 상위 49% 내 ,191672,55215,36870,30215,25000,411
 상위 50% 내 ,191673,54131,35949,29750,24382,377
 상위 51% 내 ,191673,53041,35022,29336,23705,352
 상위 52% 내 ,191672,51985,34125,28895,23090,327
 상위 53% 내 ,191673,50932,33229,28641,22291,305
 상위 54% 내 ,191673,49978,32419,28114,21863,290
 상위 55% 내 ,191673,48953,31548,27864,21090,265
 상위 56% 내 ,191672,48053,30782,27495,20558,254
 상위 57% 내 ,191673,47164,30027,27071,20093,240
 상위 58% 내 ,191673,46274,29270,25738,20536,262
 상위 59% 내 ,191673,45731,28809,27649,18082,183
 상위 60% 내 ,191672,44862,28070,26143,18719,204
 상위 61% 내 ,191673,44011,27346,25286,18724,207
 상위 62% 내 ,191673,43372,26803,26201,17171,170
 상위 63% 내 ,191672,42588,26137,25293,17295,176
 상위 64% 내 ,191673,41810,25476,24661,17148,177
 상위 65% 내 ,191673,41271,25018,25145,16126,156
 상위 66% 내 ,191673,40525,24383,23541,16984,184
 상위 67% 내 ,191672,40203,24110,24740,15463,142
 상위 68% 내 ,191673,39788,23757,25023,14765,133
 상위 69% 내 ,191673,38785,22905,23868,14917,140
 상위 70% 내 ,191673,37644,21935,23272,14371,130
 상위 71% 내 ,191672,36601,21048,23100,13501,114
 상위 72% 내 ,191673,35425,20048,22534,12890,102
 상위 73% 내 ,191673,34318,19107,22365,11953,85
 상위 74% 내 ,191673,33153,18117,21817,11336,74
