읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),RFID종류_내장형,RFID종류_외장형,RFID종류_인식표,등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,8,44,0,33,12,7,19,38,1,52,0,0,2019-10-14
구미동,386,1900,5,1233,907,151,70,1839,1,2291,1,1,2019-10-14
궁내동,28,86,0,57,45,12,31,87,1,114,0,0,2019-10-14
금곡동,294,1182,1,795,596,86,62,1181,1,1477,0,0,2019-10-14
대장동,23,24,0,11,27,9,18,26,2,47,0,0,2019-10-14
동원동,6,51,0,28,24,5,18,43,1,57,0,0,2019-10-14
백현동,146,757,0,567,254,82,58,712,1,903,0,0,2019-10-14
분당동,217,1137,0,835,410,109,61,1041,1,1354,0,0,2019-10-14
삼평동,124,595,0,395,267,57,48,609,1,719,0,0,2019-10-14
서현동,401,2092,4,1494,765,238,65,2063,1,2497,0,0,2019-10-14
석운동,5,21,0,14,11,1,12,17,2,26,0,0,2019-10-14
수내동,383,1755,1,1234,749,156,61,1748,1,2139,0,0,2019-10-14
야탑동,428,2254,1,1636,878,169,72,2093,1,2683,0,0,2019-10-14
운중동,129,703,0,451,302,79,64,665,1,832,0,1,2019-10-14
이매동,230,1313,1,910,456,178,62,1288,1,1544,0,0,2019-10-14
정자동,461,4081,6,2899,1369,280,84,3672,1,4548,0,0,2019-10-14
판교동,119,661,0,433,274,73,57,620,1,780,0,0,2019-10-14
하산운동,0,3,0,3,0,0,3,3,1,3,0,0,2019-10-14
고등동,14,82,0,62,21,13,28,63,2,96,0,0,2019-10-14
금토동,22,78,0,54,33,13,30,61,2,100,0,0,2019-10-14
단대동,82,603,0,457,161,67,44,529,1,685,0,0,2019-10-14
둔전동,2,8,0,3,3,4,7,8,1,10,0,0,2019-10-14
복정동,43,454,3,332,128,40,45,391,1,500,0,1,2019-10-14
사송동,3,31,0,22,10,2,18,30,1,34,0,0,2019-10-14
산성동,101,569,1,398,209,64,44,522,1,671,0,0,2019-10-14
상적동,4,48,0,30,13,9,21,33,2,52,0,0,2019-10-14
수진동,163,1466,1,1102,454,74,58,1251,1,1630,0,0,2019-10-14
시흥동,6,91,1,56,36,6,24,65,2,98,0,0,2019-10-14
신촌동,6,30,0,20,12,4,14,27,1,36,0,0,2019-10-14
신흥동,264,2263,2,1786,576,167,65,1982,1,2529,2,0,2019-10-14
심곡동,10,96,0,63,32,11,30,84,1,106,0,0,2019-10-14
양지동,72,386,1,293,139,27,40,372,1,459,0,0,2019-10-14
오야동,7,40,0,20,21,6,16,37,1,47,0,0,2019-10-14
창곡동,75,931,1,511,262,234,50,748,1,1007,0,0,2019-10-14
태평동,406,3034,1,2185,992,264,72,2561,1,3441,0,1,2019-10-14
중동,0,652,0,652,0,0,30,470,1,652,0,0,2019-10-14
갈현동,5,20,0,17,4,4,14,20,1,25,0,0,2019-10-14
금광동,254,1745,1,1359,496,145,57,1557,1,2000,0,0,2019-10-14
도촌동,78,609,0,415,229,43,43,577,1,687,0,0,2019-10-14
성남동,211,1512,0,1218,363,142,65,1294,1,1723,0,0,2019-10-14
여수동,30,215,2,114,106,27,38,193,1,247,0,0,2019-10-14
은행동,239,1694,1,1324,478,132,63,1462,1,1934,0,1,2019-10-14
중앙동,107,698,0,505,239,61,39,557,1,805,0,0,2019-10-14
상대원동,315,2705,0,2175,652,193,81,2318,1,3020,0,0,2019-10-14
하대원동,148,940,0,780,200,108,56,852,1,1088,0,0,2019-10-14
